Media ,School,City,State
Acropolis Times,Athens High School,Athens,Alabama
Patriot Pages,Bob Jones High School,Madison,Alabama
The Hurricane Herald,Brookwood High School,Brookwood,Alabama
The Buzz,Chelsea High School,Chelsea,Alabama
The Daphne Oracle,Daphne High School,Daphne,Alabama
The Pirateer,Fairhope High School,Fairhope,Alabama
The Homewood Tricorne,Homewood High School,Homewood,Alabama
SPOTLIGHT,Montevallo High School,Montevallo,Alabama
The Crimson Crier,Sparkman High School,Harvest,Alabama
The Roar,Springville High School,Springville,Alabama
Imprint,Virgil I Grissom High School,Huntsville,Alabama
The Hawk Highlights ,Galena City Schools,Galena,Alaska
Igaramkin,Igaramkin,Anchorage,Alaska
SHS Today,Seward High School,Seward,Alaska
Eagle's Cry,West Anchorage High School,Anchorage,Alaska
OwlFeed,Agua Fria High School,Avondale,Arizona
Knight Times,Arizona College Prep,Chandler,Arizona
Brophy Roundup,Brophy College Preparatory,Phoenix,Arizona
The Wolf Howl,Chandler High School,Chandler,Arizona
Combs Courier,Combs High School,San Tan Valley,Arizona
Codex Connect,Copper Canyon High School,Glendale,Arizona
The Skyhawk Flight,Deer Valley High School,Glendale,Arizona
Wolf's Print,Desert Mountain High School,Phoenix,Arizona
The View,Desert Vista High School,Phoenix,Arizona
Demon Dispatch,Greenway High School,Glendale,Arizona
The Paw Print,Hamilton High School,Chandler,Arizona
Horizon Sun,Horizon Honors,Phoenix,Arizona
Chasing the Storm,Imagine Prep Surprise,Surprise,Arizona
The Patriot Post,Independence High School,Glendale,Arizona
JHS Golden Eye,Jonesboro High School,Jonesboro,Arizona
Eye of the Lobo,La Joya Community High School,Avondale,Arizona
Guidon,McClintock High School,Tempe,Arizona
Ridge Review,Mountain Ridge High School,Glendale,Arizona
The Rattle,North Canyon High School,Phoenix,Arizona
The Trojan Times,Paradise Valley High School,Phoenix,Arizona
Precendent,Perry High School,Gilbert,Arizona
Blueprint Magazine,Pinnacle High School,Phoenix,Arizona
The Paper Cut ,Sahuaro High School,Tucson,Arizona
The Talon,Sandra Day O'Connor High School,Phoenix,Arizona
Dawg Pound Media,Sierra Linda High School,Phoenix,Arizona
